"time","avg_steps"
"00:00",42.1884368308351
"01:00",23.1028938906752
"02:00",17.1103965702036
"03:00",6.42658092175777
"04:00",12.6995708154506
"05:00",43.8690987124464
"06:00",178.508055853921
"07:00",306.049409237379
"08:00",427.544575725027
"09:00",433.301825993555
"10:00",481.665231431647
"11:00",456.886731391586
"12:00",548.642082429501
"13:00",537.698154180239
"14:00",540.513572204126
"15:00",406.31912568306
"16:00",496.845644983462
"17:00",550.23289183223
"18:00",599.169977924945
"19:00",583.390728476821
"20:00",353.905077262693
"21:00",308.138121546961
"22:00",237.987831858407
"23:00",122.132890365449
